PositionX [?m],PositionY [?m],Time [s]
12.219565,13.423188,14:19.8
12.365873,13.409524,14:20.8
12.330952,13.409524,14:21.8
12.204762,13.409524,14:22.9
12.191667,13.475,14:23.8
12.262179,13.496154,14:24.8
12.195652,13.423188,14:25.8
12.191667,13.291667,14:26.8
12.163768,13.27971,14:27.8
12.155,13.273333,14:28.8
12.000694,13.421528,14:29.8
12.1,13.316667,14:30.8
12.136667,13.376,14:31.8
12.184615,13.390385,14:32.8
12.012319,13.494928,14:33.8
12.155797,13.327536,14:34.8
12.131884,13.494928,14:35.8
12.025,13.408333,14:36.8
12.133333,13.35,14:37.8
12.032456,13.373684,14:38.8
12.109167,13.429167,14:39.8
